"id","label","mots_clefs","type","catégorie","prix_achat","date_acquisition","donateur","date_modif","édition","nom","interne","année","statut","tampon","état_général","qualité_photo","rareté","interêt","pivée","note_admin","note_visiteur","pos_x","pos_y","angle_photo","pos_x_photo","pos_y_photo","adresse_nom","adresse_1","adresse_2","adresse_ville","adresse_pays","valeur","précédent","suivant","pays","région","fleuve","pk","rive","sens","description","remarques","message"
"1","Paris - Chambre des députés et le Pont de la Concorde","Paris, Bateau mouche, Pont de la Concorde, Chambre des députés","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 07:58:42",,,,,"Vierge","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0","Maria Poquet","Tailleur à Bohain","Rue de Guise","ville","France","0",,,"France",,,"0","Inconnu","Inconnu","Ceci est une carte représentant la chambre des députés, le parlement.","remarque","Merci de votre aimable carte. Bien le bonjour de la part de toute la famille. V. Picot"
"2","Paris - Quai de Bercy ","Paris, Péniche, Remorqueur Joseph FRETIGNY, Grue, Pont","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"3","Expositions des Arts Décoratifs - Les trois Péniches : Amours, Délices et Orgues","""Paris, Expositions des Arts Décoratifs, Péniches """"Amours"""",  """"Délice"""" et """"Orgues"""", Délices et Orgues, Poiret""","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"4","111 Perreux - Plage","Pont, Plage, Ponton, Baignade, Le Perreux","CPA","BEF","6","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,"1902","Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"5","BAS-MEUDON - Embarcadère des Bateaux Parisiens","Bas-Meudon, Embarcadère des Bateaux Parisiens","CPA","BEF","7","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,"1907","Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"6","VERSAILLES - Gonflement de Ballons avenue de Paris","Versailles, Gonflement de Ballons, Clément Bayard","CPA","BEF","15","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,"1920","Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"7","La Seine à travers Paris - La Seine, vue prise de la Rapée","Paris, Bateau mouche, Péniche, Grue, Pont","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"8","Paris - L'abside de Notre-Dame","Paris, Péniche, Pont, Notre-Dame","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"9","Paris - La Conciergerie","Paris, Pont, Conciergerie","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"10","Paris - Vue générale du pont Alexandre III","Paris, Bateau mouche, Péniche, Pont Alexandre III","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"11","Paris - Le pont Alexandre III","Paris, Pont Alexandre III","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"12","Paris - ile de la Cité - Ecluse de la monnaie","Paris, Péniche, Ile de la cité, Ecluse de la Monnaie, Ponts, Ecluse","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"13","Paris - Gare d'Orsay","Paris, Bateau mouche, Gare d'Orsay, Remorqueur","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"14","Crue de la Seine 1910 - Salle d'attente gare d'Orsay","Paris, Gare d'Orsay, Crue (Inondations) 1910","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"15","Paris la grande crue de la Seine","Paris, Gare d'Orsay, Crue (Inondations) 1910","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"16","Paris - Métropolitain place de la Bastille","Paris, Metro, Bassin de l'Arsenal","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"17","La Seine à travers Paris - Le Louvre. Vue prise du pont neuf","Paris, Louvre, Passage de la Monnaie, Pont des Arts","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
